1	1月	0.81 	0.57 	9.94 	6.84 	83.08 	51.52 	767.28 	565.75 	8406.50 	5968.24 	82720.87 	72201.50 
2	2月	0.67 	0.83 	9.34 	6.29 	84.88 	90.77 	707.95 	601.81 	6739.45 	6321.24 	78053.92 	72535.89 
3	3月	0.76 	0.64 	7.89 	7.27 	61.85 	64.65 	672.94 	516.58 	6757.86 	6589.21 	79529.12 	52716.16 
4	4月	0.72 	0.89 	9.22 	6.22 	93.88 	89.16 	865.77 	726.95 	7862.98 	5959.45 	68887.65 	70162.67 
5	5月	0.51 	0.66 	8.42 	5.96 	51.98 	71.57 	935.14 	896.85 	6676.39 	5203.24 	93114.84 	73138.04 
6	6月	0.68 	0.86 	8.57 	6.14 	75.85 	57.35 	689.94 	940.19 	6109.70 	6548.44 	99840.23 	54883.60 
7	7月	0.81 	0.53 	9.68 	6.54 	53.14 	69.89 	902.48 	952.40 	9254.58 	9534.94 	80257.81 	92134.02 
8	8月	0.92 	0.82 	8.23 	5.99 	71.34 	98.03 	845.14 	644.55 	8957.94 	8189.31 	54105.81 	99961.77 
9	9月	0.83 	0.70 	5.07 	7.69 	53.02 	54.80 	866.53 	984.11 	6324.09 	5671.08 	96158.08 	86289.23 
10	10月	0.64 	0.97 	9.33 	5.00 	51.30 	67.62 	876.21 	582.87 	5681.43 	9774.92 	61139.21 	56544.13 
11	11月	0.78 	0.64 	5.59 	8.89 	83.84 	95.56 	844.75 	994.26 	7526.32 	7885.94 	81036.04 	62284.22 
12	12月	0.82 	0.67 	8.65 	7.57 	94.80 	91.99 	906.77 	925.09 	5191.85 	9711.95 	66941.49 	52948.91 
